"U:0","U:1","U:2","k","nut","p","vtkValidPointMask","arc_length","Points:0","Points:1","Points:2"
1,-2.3536e-20,3.7725e-19,0.0036624,1.4626e-05,0.77321,1,0,0,0,0
1.0001,-2.3537e-20,3.7727e-19,0.0030896,1.4446e-05,0.77317,1,0.051,0.051,0,0
1.0002,-2.3539e-20,3.7729e-19,0.0025168,1.4265e-05,0.77312,1,0.102,0.102,0,0
1.0002,-2.354e-20,3.7732e-19,0.001944,1.4085e-05,0.77307,1,0.153,0.153,0,0
1.0003,-2.3542e-20,3.7734e-19,0.0013998,1.3905e-05,0.77302,1,0.204,0.204,0,0
1.0004,-2.3546e-20,3.774e-19,0.0011927,1.3736e-05,0.77286,1,0.255,0.255,0,0
1.0006,-2.3549e-20,3.7746e-19,0.00098559,1.3566e-05,0.7727,1,0.306,0.306,0,0
1.0008,-2.3553e-20,3.7753e-19,0.00077847,1.3397e-05,0.77255,1,0.357,0.357,0,0
1.0009,-2.3557e-20,3.7759e-19,0.00059379,1.3235e-05,0.77237,1,0.408,0.408,0,0
1.0012,-2.3563e-20,3.7769e-19,0.00052973,1.3116e-05,0.77212,1,0.459,0.459,0,0
1.0014,-2.3569e-20,3.7778e-19,0.00046568,1.2996e-05,0.77186,1,0.51,0.51,0,0
1.0017,-2.3575e-20,3.7788e-19,0.00040163,1.2877e-05,0.77161,1,0.561,0.561,0,0
1.002,-2.3581e-20,3.7798e-19,0.00034597,1.2765e-05,0.77134,1,0.612,0.612,0,0
1.0023,-2.3588e-20,3.7809e-19,0.0003176,1.2677e-05,0.77104,1,0.663,0.663,0,0
1.0026,-2.3595e-20,3.782e-19,0.00028924,1.2589e-05,0.77073,1,0.714,0.714,0,0
1.0029,-2.3602e-20,3.7831e-19,0.00026087,1.2501e-05,0.77043,1,0.765,0.765,0,0
1.0032,-2.3609e-20,3.7843e-19,0.00023657,1.2419e-05,0.77012,1,0.816,0.816,0,0
1.0035,-2.3617e-20,3.7855e-19,0.00022117,1.2351e-05,0.76979,1,0.867,0.867,0,0
1.0038,-2.3624e-20,3.7867e-19,0.00020576,1.2284e-05,0.76947,1,0.918,0.918,0,0
1.0041,-2.3632e-20,3.7879e-19,0.00019035,1.2216e-05,0.76914,1,0.969,0.969,0,0
1.0044,-2.3639e-20,3.7891e-19,0.00017725,1.2153e-05,0.7688,1,1.02,1.02,0,0
1.0048,-2.3647e-20,3.7904e-19,0.00016775,1.2099e-05,0.76846,1,1.071,1.071,0,0
1.0051,-2.3655e-20,3.7916e-19,0.00015824,1.2045e-05,0.76811,1,1.122,1.122,0,0
