"U:0","U:1","U:2","k","nut","p","vtkValidPointMask","arc_length","Points:0","Points:1","Points:2"
1,1.9299e-14,3.0419e-16,0.0037666,0.0032894,0.96805,1,0,0,0,0
1.0001,1.9301e-14,3.0423e-16,0.003735,0.0032869,0.96798,1,0.124,0.124,0,0
1.0002,1.9303e-14,3.0426e-16,0.0037034,0.0032844,0.9679,1,0.248,0.248,0,0
1.0005,1.9308e-14,3.0433e-16,0.0036651,0.0032812,0.96769,1,0.372,0.372,0,0
1.0008,1.9315e-14,3.0444e-16,0.003622,0.0032776,0.96737,1,0.496,0.496,0,0
1.0012,1.9322e-14,3.0455e-16,0.0035793,0.003274,0.96701,1,0.62,0.62,0,0
1.0018,1.9333e-14,3.0472e-16,0.0035388,0.0032708,0.96643,1,0.744,0.744,0,0
1.0023,1.9343e-14,3.0488e-16,0.0034982,0.0032676,0.96586,1,0.868,0.868,0,0
1.0029,1.9355e-14,3.0507e-16,0.0034592,0.0032643,0.96522,1,0.992,0.992,0,0
1.0036,1.9367e-14,3.0527e-16,0.0034207,0.0032611,0.96455,1,1.116,1.116,0,0
1.0042,1.938e-14,3.0546e-16,0.0033829,0.0032578,0.96388,1,1.24,1.24,0,0
1.0049,1.9393e-14,3.0567e-16,0.0033464,0.0032546,0.96319,1,1.364,1.364,0,0
1.0055,1.9406e-14,3.0587e-16,0.0033098,0.0032514,0.9625,1,1.488,1.488,0,0
1.0063,1.9419e-14,3.0609e-16,0.0032751,0.0032485,0.9618,1,1.612,1.612,0,0
1.007,1.9433e-14,3.063e-16,0.0032406,0.0032455,0.9611,1,1.736,1.736,0,0
1.0077,1.9447e-14,3.0652e-16,0.0032068,0.0032425,0.96038,1,1.86,1.86,0,0
1.0084,1.9462e-14,3.0675e-16,0.0031738,0.0032393,0.95965,1,1.984,1.984,0,0
1.0092,1.9476e-14,3.0698e-16,0.003141,0.0032361,0.95892,1,2.108,2.108,0,0
