"U:0","U:1","U:2","k","nut","omega","p","yPlus","vtkValidPointMask","arc_length","Points:0","Points:1","Points:2"
1,1.93e-14,3.042e-16,0.0037757,0.004754,0.79421,0.93333,0,1,0,0,0,0
1.0002,1.9303e-14,3.0425e-16,0.0037526,0.0047496,0.79006,0.9332,0,1,0.124,0.124,0,0
1.0004,1.9306e-14,3.043e-16,0.0037295,0.0047453,0.78591,0.93307,0,1,0.248,0.248,0,0
1.0007,1.9312e-14,3.044e-16,0.0037013,0.00474,0.78084,0.93277,0,1,0.372,0.372,0,0
1.0011,1.9321e-14,3.0453e-16,0.0036694,0.004734,0.77511,0.93235,0,1,0.496,0.496,0,0
1.0016,1.933e-14,3.0467e-16,0.0036378,0.0047279,0.76941,0.93189,0,1,0.62,0.62,0,0
1.0022,1.9341e-14,3.0486e-16,0.0036072,0.004722,0.7639,0.93124,0,1,0.744,0.744,0,0
1.0028,1.9353e-14,3.0505e-16,0.0035766,0.004716,0.75839,0.9306,0,1,0.868,0.868,0,0
1.0035,1.9366e-14,3.0525e-16,0.0035469,0.0047101,0.75303,0.92991,0,1,0.992,0.992,0,0
1.0042,1.9379e-14,3.0545e-16,0.0035175,0.0047042,0.74773,0.92922,0,1,1.116,1.116,0,0
1.0048,1.9392e-14,3.0566e-16,0.0034885,0.0046983,0.74249,0.92853,0,1,1.24,1.24,0,0
1.0055,1.9405e-14,3.0586e-16,0.0034602,0.0046924,0.73738,0.92785,0,1,1.364,1.364,0,0
1.0062,1.9418e-14,3.0607e-16,0.0034319,0.0046866,0.73227,0.92717,0,1,1.488,1.488,0,0
1.0069,1.9432e-14,3.0629e-16,0.0034046,0.0046808,0.72733,0.92647,0,1,1.612,1.612,0,0
1.0076,1.9446e-14,3.0651e-16,0.0033773,0.004675,0.72241,0.92576,0,1,1.736,1.736,0,0
1.0084,1.946e-14,3.0673e-16,0.0033506,0.0046692,0.71758,0.92503,0,1,1.86,1.86,0,0
1.0091,1.9475e-14,3.0696e-16,0.0033244,0.0046635,0.71284,0.92428,0,1,1.984,1.984,0,0
1.0099,1.949e-14,3.0719e-16,0.0032983,0.0046578,0.70811,0.92352,0,1,2.108,2.108,0,0
1.0107,1.9505e-14,3.0743e-16,0.003273,0.0046521,0.70354,0.92274,0,1,2.232,2.232,0,0
1.0115,1.952e-14,3.0767e-16,0.0032477,0.0046464,0.69898,0.92196,0,1,2.356,2.356,0,0
1.0123,1.9535e-14,3.0791e-16,0.0032231,0.0046407,0.69451,0.92117,0,1,2.48,2.48,0,0
1.0131,1.9551e-14,3.0816e-16,0.0031988,0.0046351,0.69011,0.92037,0,1,2.604,2.604,0,0
1.0139,1.9566e-14,3.084e-16,0.0031746,0.0046295,0.68574,0.91957,0,1,2.728,2.728,0,0
1.0147,1.9582e-14,3.0865e-16,0.0031512,0.0046239,0.68149,0.91876,0,1,2.852,2.852,0,0
1.0155,1.9598e-14,3.089e-16,0.0031277,0.0046183,0.67724,0.91795,0,1,2.976,2.976,0,0
1.0163,1.9614e-14,3.0915e-16,0.003105,0.0046127,0.67311,0.91713,0,1,3.1,3.1,0,0
